Running bpa_pyriscv/riscv_isa/programs/benchmarks/towers.riscv
                   0: PC: xxxxxxxx, IR: xxxxxxxx
                   1: PC: 80000000, IR: 00000093, li ra,0x0
                   2: PC: 80000004, IR: 00000113, li sp,0x0
                   3: PC: 80000008, IR: 00000193, li gp,0x0
                   4: PC: 8000000c, IR: 00000213, li tp,0x0
                   5: PC: 80000010, IR: 00000293, li t0,0x0
                   6: PC: 80000014, IR: 00000313, li t1,0x0
                   7: PC: 80000018, IR: 00000393, li t2,0x0
                   8: PC: 8000001c, IR: 00000413, li s0,0x0
                   9: PC: 80000020, IR: 00000493, li s1,0x0
                  10: PC: 80000024, IR: 00000513, li a0,0x0
                  11: PC: 80000028, IR: 00000593, li a1,0x0
                  12: PC: 8000002c, IR: 00000613, li a2,0x0
                  13: PC: 80000030, IR: 00000693, li a3,0x0
                  14: PC: 80000034, IR: 00000713, li a4,0x0
                  15: PC: 80000038, IR: 00000793, li a5,0x0
                  16: PC: 8000003c, IR: 00000813, li a6,0x0
                  17: PC: 80000040, IR: 00000893, li a7,0x0
                  18: PC: 80000044, IR: 00000913, li s2,0x0
                  19: PC: 80000048, IR: 00000993, li s3,0x0
                  20: PC: 8000004c, IR: 00000a13, li s4,0x0
                  21: PC: 80000050, IR: 00000a93, li s5,0x0
                  22: PC: 80000054, IR: 00000b13, li s6,0x0
                  23: PC: 80000058, IR: 00000b93, li s7,0x0
                  24: PC: 8000005c, IR: 00000c13, li s8,0x0
                  25: PC: 80000060, IR: 00000c93, li s9,0x0
                  26: PC: 80000064, IR: 00000d13, li s10,0x0
                  27: PC: 80000068, IR: 00000d93, li s11,0x0
                  28: PC: 8000006c, IR: 00000e13, li t3,0x0
                  29: PC: 80000070, IR: 00000e93, li t4,0x0
                  30: PC: 80000074, IR: 00000f13, li t5,0x0
                  31: PC: 80000078, IR: 00000f93, li t6,0x0
                  32: PC: 8000007c, IR: 0001e2b7, lui t0,0x0001e
                  33: PC: 80000080, IR: 3002a073, csrrs  instruction
                  34: PC: 80000084, IR: 00100293, li t0,0x1
                  35: PC: 80000088, IR: 01f29293, slli t0,t0,0x1f
                  36: PC: 8000008c, IR: 0002ca63, bltz t0,0x800000a0
                  37: PC: 800000a0, IR: 00000297, auipc t0,0x0
                  38: PC: 800000a4, IR: 04028293, addi t0,t0,0x40
                  39: PC: 800000a8, IR: 30529073, csrrw  instruction
                  40: PC: 800000ac, IR: 00004197, auipc gp,0x4000
                  41: PC: 800000b0, IR: 46018193, addi gp,gp,0x460
                  42: PC: 800000b4, IR: 8b318213, addi tp,gp,0x-74d
                  43: PC: 800000b8, IR: fc027213, andi tp,tp,0x-40
                  44: PC: 800000bc, IR: f1402573, csrrs  instruction
                  45: PC: 800000c0, IR: 00100593, li a1,0x1
                  46: PC: 800000c4, IR: 00b57063, bgeu a0,a1,0x800000c4
                  47: PC: 800000c8, IR: 00150113, addi sp,a0,0x1
                  48: PC: 800000cc, IR: 01111113, slli sp,sp,0x11
                  49: PC: 800000d0, IR: 00410133, add sp,sp,tp
                  50: PC: 800000d4, IR: 01151613, slli a2,a0,0x11
                  51: PC: 800000d8, IR: 00c20233, add tp,tp,a2
                  52: PC: 800000dc, IR: 3910206f, j 80002c6c
                  53: PC: 80002c6c, IR: f6010113, addi sp,sp,0x-a0
                  54: PC: 80002c70, IR: 08112e23, sw ra,0x9c(sp)
                  55: PC: 80002c74, IR: 08812c23, sw s0,0x98(sp)
                  56: PC: 80002c78, IR: 08912a23, sw s1,0x94(sp)
                  57: PC: 80002c7c, IR: 09212823, sw s2,0x90(sp)
                  58: PC: 80002c80, IR: 09312623, sw s3,0x8c(sp)
                  59: PC: 80002c84, IR: 09412423, sw s4,0x88(sp)
                  60: PC: 80002c88, IR: 09512223, sw s5,0x84(sp)
                  61: PC: 80002c8c, IR: 00050493, addi s1,a0,0x0
                  62: PC: 80002c90, IR: 00058913, addi s2,a1,0x0
                  63: PC: 80002c94, IR: 03f10413, addi s0,sp,0x3f
                  64: PC: 80002c98, IR: fc047413, andi s0,s0,0x-40
                  65: PC: 80002c9c, IR: 85018a13, addi s4,gp,0x-7b0
                  66: PC: 80002ca0, IR: 85018593, addi a1,gp,0x-7b0
                  67: PC: 80002ca4, IR: 40ba09b3, sub s3,s4,a1
                  68: PC: 80002ca8, IR: 00020a93, addi s5,tp,0x0
                  69: PC: 80002cac, IR: 00098613, addi a2,s3,0x0
                  70: PC: 80002cb0, IR: 00020513, addi a0,tp,0x0
                  71: PC: 80002cb4, IR: 879ff0ef, jal ra,0x8000252c
                  72: PC: 8000252c, IR: 00c5e7b3, or a5,a1,a2
                  73: PC: 80002530, IR: 00f567b3, or a5,a0,a5
                  74: PC: 80002534, IR: 0037f793, andi a5,a5,0x3
                  75: PC: 80002538, IR: 02078863, beqz a5,0x80002568
                  76: PC: 80002568, IR: 00c50633, add a2,a0,a2
                  77: PC: 8000256c, IR: fec57ae3, bgeu a0,a2,0x80002560
                  78: PC: 80002560, IR: 00008067, ret
                  79: PC: 80002cb8, IR: 8b818613, addi a2,gp,0x-748
                  80: PC: 80002cbc, IR: 41460633, sub a2,a2,s4
                  81: PC: 80002cc0, IR: 00000593, li a1,0x0
                  82: PC: 80002cc4, IR: 013a8533, add a0,s5,s3
                  83: PC: 80002cc8, IR: 8c5ff0ef, jal ra,0x8000258c
                  84: PC: 8000258c, IR: 00c567b3, or a5,a0,a2
                  85: PC: 80002590, IR: 0037f793, andi a5,a5,0x3
                  86: PC: 80002594, IR: 02078263, beqz a5,0x800025b8
                  87: PC: 800025b8, IR: 0ff5f593, andi a1,a1,0xff
                  88: PC: 800025bc, IR: 00859793, slli a5,a1,0x8
                  89: PC: 800025c0, IR: 00b7e7b3, or a5,a5,a1
                  90: PC: 800025c4, IR: 01079593, slli a1,a5,0x10
                  91: PC: 800025c8, IR: 00f5e5b3, or a1,a1,a5
                  92: PC: 800025cc, IR: 00c50633, add a2,a0,a2
                  93: PC: 800025d0, IR: fec570e3, bgeu a0,a2,0x800025b0
                  94: PC: 800025d4, IR: 00050793, addi a5,a0,0x0
                  95: PC: 800025d8, IR: 00478793, addi a5,a5,0x4
                  96: PC: 800025dc, IR: feb7ae23, sw a1,0x-4(a5)
                  97: PC: 800025e0, IR: fec7ece3, bltu a5,a2,0x800025d8
                  98: PC: 800025d8, IR: 00478793, addi a5,a5,0x4
                  99: PC: 800025dc, IR: feb7ae23, sw a1,0x-4(a5)
                 100: PC: 800025e0, IR: fec7ece3, bltu a5,a2,0x800025d8
                 101: PC: 800025d8, IR: 00478793, addi a5,a5,0x4
                 102: PC: 800025dc, IR: feb7ae23, sw a1,0x-4(a5)
                 103: PC: 800025e0, IR: fec7ece3, bltu a5,a2,0x800025d8
                 104: PC: 800025d8, IR: 00478793, addi a5,a5,0x4
                 105: PC: 800025dc, IR: feb7ae23, sw a1,0x-4(a5)
                 106: PC: 800025e0, IR: fec7ece3, bltu a5,a2,0x800025d8
                 107: PC: 800025d8, IR: 00478793, addi a5,a5,0x4
                 108: PC: 800025dc, IR: feb7ae23, sw a1,0x-4(a5)
                 109: PC: 800025e0, IR: fec7ece3, bltu a5,a2,0x800025d8
                 110: PC: 800025d8, IR: 00478793, addi a5,a5,0x4
                 111: PC: 800025dc, IR: feb7ae23, sw a1,0x-4(a5)
                 112: PC: 800025e0, IR: fec7ece3, bltu a5,a2,0x800025d8
                 113: PC: 800025d8, IR: 00478793, addi a5,a5,0x4
                 114: PC: 800025dc, IR: feb7ae23, sw a1,0x-4(a5)
                 115: PC: 800025e0, IR: fec7ece3, bltu a5,a2,0x800025d8
                 116: PC: 800025d8, IR: 00478793, addi a5,a5,0x4
                 117: PC: 800025dc, IR: feb7ae23, sw a1,0x-4(a5)
                 118: PC: 800025e0, IR: fec7ece3, bltu a5,a2,0x800025d8
                 119: PC: 800025d8, IR: 00478793, addi a5,a5,0x4
                 120: PC: 800025dc, IR: feb7ae23, sw a1,0x-4(a5)
                 121: PC: 800025e0, IR: fec7ece3, bltu a5,a2,0x800025d8
                 122: PC: 800025d8, IR: 00478793, addi a5,a5,0x4
                 123: PC: 800025dc, IR: feb7ae23, sw a1,0x-4(a5)
                 124: PC: 800025e0, IR: fec7ece3, bltu a5,a2,0x800025d8
                 125: PC: 800025d8, IR: 00478793, addi a5,a5,0x4
                 126: PC: 800025dc, IR: feb7ae23, sw a1,0x-4(a5)
                 127: PC: 800025e0, IR: fec7ece3, bltu a5,a2,0x800025d8
                 128: PC: 800025d8, IR: 00478793, addi a5,a5,0x4
                 129: PC: 800025dc, IR: feb7ae23, sw a1,0x-4(a5)
                 130: PC: 800025e0, IR: fec7ece3, bltu a5,a2,0x800025d8
                 131: PC: 800025d8, IR: 00478793, addi a5,a5,0x4
                 132: PC: 800025dc, IR: feb7ae23, sw a1,0x-4(a5)
                 133: PC: 800025e0, IR: fec7ece3, bltu a5,a2,0x800025d8
                 134: PC: 800025d8, IR: 00478793, addi a5,a5,0x4
                 135: PC: 800025dc, IR: feb7ae23, sw a1,0x-4(a5)
                 136: PC: 800025e0, IR: fec7ece3, bltu a5,a2,0x800025d8
                 137: PC: 800025d8, IR: 00478793, addi a5,a5,0x4
                 138: PC: 800025dc, IR: feb7ae23, sw a1,0x-4(a5)
                 139: PC: 800025e0, IR: fec7ece3, bltu a5,a2,0x800025d8
                 140: PC: 800025d8, IR: 00478793, addi a5,a5,0x4
                 141: PC: 800025dc, IR: feb7ae23, sw a1,0x-4(a5)
                 142: PC: 800025e0, IR: fec7ece3, bltu a5,a2,0x800025d8
                 143: PC: 800025d8, IR: 00478793, addi a5,a5,0x4
                 144: PC: 800025dc, IR: feb7ae23, sw a1,0x-4(a5)
                 145: PC: 800025e0, IR: fec7ece3, bltu a5,a2,0x800025d8
                 146: PC: 800025d8, IR: 00478793, addi a5,a5,0x4
